CRU-USD,Crust USD,34.22,-0.04,-0.12%,69.923M,6.457M,6.457M,6.457M,2.044M,
,,,,,,,,,,
WOZX-USD,EFFORCE USD,0.485441,-0.004754,-0.97%,70.488M,"691,716","691,716","691,716",145.203M,
,,,,,,,,,,
GRS-USD,Groestlcoin USD,0.862196,-0.006261,-0.72%,67.7M,5.526M,5.526M,5.526M,78.52M,
,,,,,,,,,,
SBD-USD,SteemDollars USD,7.2089,0.0849,1.19%,65.658M,31.437M,31.437M,31.437M,9.108M,
,,,,,,,,,,
FIO-USD,FIOProtocol USD,0.178141,-0.005539,-3.02%,63.637M,4.358M,4.358M,4.358M,357.229M,
,,,,,,,,,,
ZNN-USD,Zenon USD,10.28,-0.01,-0.06%,62.924M,"105,293","105,293","105,293",6.121M,
,,,,,,,,,,
XCP-USD,Counterparty USD,22.68,-1.21,-5.08%,59.287M,"382,202","382,202","382,202",2.614M,
,,,,,,,,,,
BCN-USD,Bytecoin USD,0.00032,-0.000004,-1.12%,58.853M,"24,486","24,486","24,486",184.067B,
,,,,,,,,,,
BEAM-USD,Beam USD,0.58422,-0.016482,-2.74%,57.221M,11.155M,11.155M,11.155M,97.944M,
,,,,,,,,,,
SERO-USD,SuperZero USD,0.172918,-0.002027,-1.16%,57.033M,"808,298","808,298","808,298",329.825M,
,,,,,,,,,,
BEPRO-USD,BetProtocol USD,0.008218,-0.000597,-6.77%,55.594M,1.507M,1.507M,1.507M,6.765B,
,,,,,,,,,,
DGD-USD,DigixDAO USD,657.14,-0.84,-0.13%,54.841M,"7,355","7,355","7,355","83,454",
,,,,,,,,,,
PCX-USD,ChainX USD,4.7828,0.1326,2.85%,53.753M,1.678M,1.678M,1.678M,11.239M,
,,,,,,,,,,
AXEL-USD,AXEL USD,0.186775,0.000742,0.40%,52.449M,"125,760","125,760","125,760",280.813M,
,,,,,,,,,,
APL-USD,ApolloCurrency USD,0.002464,-0.000092,-3.59%,52.143M,5.299M,5.299M,5.299M,21.165B,
,,,,,,,,,,
MARO-USD,Maro USD,0.105339,-0.003618,-3.32%,52.06M,1.391M,1.391M,1.391M,494.209M,
,,,,,,,,,,
PIVX-USD,PIVX USD,0.751926,0.015756,2.14%,50.533M,"723,440","723,440","723,440",67.205M,
,,,,,,,,,,
ATRI-USD,AtariToken USD,0.054405,-0.002334,-4.11%,48.255M,"821,462","821,462","821,462",886.96M,
,,,,,,,,,,
NULS-USD,NULS USD,0.470981,-0.00394,-0.83%,46.92M,10.472M,10.472M,10.472M,99.621M,
,,,,,,,,,,
NXS-USD,Nexus USD,0.634298,-0.019022,-2.91%,45.474M,4.883M,4.883M,4.883M,71.693M,
,,,,,,,,,,
VERI-USD,Veritaseum USD,20.87,-0.58,-2.69%,44.86M,"2,556","2,556","2,556",2.15M,
,,,,,,,,,,
MWC-USD,MimbleWimbleCoin USD,4.091,0.7832,23.68%,44.1M,"209,811","209,811","209,811",10.78M,
,,,,,,,,,,
GXC-USD,GXChain USD,0.56574,-0.008891,-1.55%,42.43M,9.262M,9.262M,9.262M,75M,
,,,,,,,,,,
PART-USD,Particl USD,3.6094,-0.2052,-5.38%,41.78M,"37,135","37,135","37,135",11.575M,
,,,,,,,,,,
VITE-USD,VITE USD,0.08406,-0.001783,-2.08%,41.209M,6.427M,6.427M,6.427M,490.232M,
